action_times,actions,block,path,queries,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_time,trial_id,trial_type,pid
"[20810, 21481, 22074]","[u'left', u'left', u'down']",train_inspect_cost,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'9', u'5', u'6', u'8', u'7', u'2', u'4', u'3', u'10', u'11', u'12'], u'time': [1896, 4753, 5545, 6690, 7147, 7669, 15242, 16151, 16975, 18289, 18663, 19099]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-10, -5, 10]","[20809, 138, 65]",-17.0,"[None, None, None]","[u'', -10, -5, 10, -10, -5, -10, 10, 10, -10, -5, -10, 10]",310564,21.0,23793.0,-7.342034422792319e+18,mouselab-mdp,0
"[8854, 9512, 10102]","[u'up', u'up', u'left']",train_inspect_cost,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'2', u'4', u'3'], u'time': [1328, 3894, 5084, 6541]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, -10, 10]","[8852, 127, 67]",1.0,"[None, None, None]","[u'', 5, -10, 5, 10, 10, 5, 10, 10, 5, -10, -10, -10]",323001,22.0,11308.0,2.8266579347923113e+18,mouselab-mdp,0
"[8865, 9540, 10403]","[u'left', u'left', u'down']",train_inspect_cost,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'10', u'11', u'12'], u'time': [3717, 5230, 5884, 7760]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 10, 5]","[8863, 150, 329]",21.0,"[None, None, None]","[u'', -10, 10, -10, 5, -5, 5, -10, -10, 10, 10, -5, 5]",335828,23.0,11707.0,-4.940336971661e+18,mouselab-mdp,0
"[8158, 8784, 9412]","[u'right', u'right', u'down']",train_inspect_cost,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'5', u'6', u'8'], u'time': [2389, 3390, 4628, 5537]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 5, 10]","[8156, 98, 92]",21.0,"[None, None, None]","[u'', -10, -10, -10, -10, 10, 5, 5, 10, -10, -5, 5, 10]",347573,24.0,10632.0,-6.516136021771222e+18,mouselab-mdp,0
"[20912, 25667, 26950]","[u'left', u'left', u'up']",train_final,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'9', u'5'], u'time': [16630, 18208, 18930]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-5, -10, 5]","[20911, 4216, 750]",-13.0,"[None, None, None]","[u'', -10, -5, 10, -5, -10, 5, -10, 10, -5, -10, 5, 10]",378396,25.0,28518.0,8.491606456270313e+18,mouselab-mdp,0
"[11621, 12315, 13041]","[u'right', u'right', u'down']",train_final,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'5', u'9', u'6', u'8'], u'time': [7578, 8198, 8860, 9918, 10486]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 10, 10]","[11619, 164, 192]",25.0,"[None, None, None]","[u'', -5, 10, 10, 5, 10, 10, 10, 10, -10, 5, 5, 5]",393984,26.0,14475.0,-6.980762109714071e+18,mouselab-mdp,0
"[5203, 5929, 6553]","[u'right', u'right', u'down']",train_final,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'6', u'7', u'8'], u'time': [755, 2388, 3305, 4059]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, -5, 10]","[5201, 194, 103]",11.0,"[None, None, None]","[u'', 10, 5, 10, -5, 10, -5, -10, 10, 5, -10, 10, 5]",422774,27.0,27650.0,3.6441571471145324e+18,mouselab-mdp,0
"[5466, 6157, 6823]","[u'left', u'left', u'up']",train_final,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'10', u'11'], u'time': [2060, 3157, 4051]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, -5, 10]","[5464, 162, 129]",12.0,"[None, None, None]","[u'', -5, 5, 5, -5, 10, -10, 5, -5, 10, -5, 10, -5]",433756,28.0,9860.0,3.344637441394107e+17,mouselab-mdp,0
"[12063, 12797, 13490]","[u'left', u'left', u'down']",train_final,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'1', u'9', u'10', u'12', u'11'], u'time': [4278, 5122, 5847, 9185, 9900, 10586]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, -10, 5]","[12062, 207, 166]",-1.0,"[None, None, None]","[u'', -5, 5, -5, -5, -10, -10, 10, -5, 10, -10, -5, 5]",449245,29.0,14363.0,8.077601249506434e+18,mouselab-mdp,0
"[7373, 8078, 8929]","[u'up', u'up', u'left']",test,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'2', u'4'], u'time': [1199, 5032, 6065]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, 5, 10]","[7370, 180, 315]",17.0,"[None, None, None]","[u'', 5, 5, -5, 10, -5, -10, 10, 5, 10, 10, -10, -10]",480394,30.0,10620.0,5.938094249628056e+18,mouselab-mdp,0
"[4070, 4666, 5394]","[u'right', u'right', u'down']",test,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'6', u'8'], u'time': [1335, 2319, 3002]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 10, 10]","[4066, 61, 206]",27.0,"[None, None, None]","[u'', -5, -5, 5, 5, 10, 10, -5, 10, -10, -10, -10, 5]",490558,31.0,9008.0,4.176600634517876e+18,mouselab-mdp,0
[],[],test,[u'0'],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'9', u'5', u'6', u'10', u'2'], u'time': [574, 1549, 2216, 4340, 5165, 6006]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",[],[],-6.0,[],"[u'', -10, 5, 10, 10, -10, -5, 5, 10, -10, -10, -10, -5]",501852,32.0,10155.0,8.607347987074356e+18,mouselab-mdp,0
